CustomerAge,AccountBalance,TransactionAmount_capped,LoginAttempts,TransactionDuration,Target,Cluster
70.0,5112.21,16.055,1.0,81.0,2,2
68.0,13758.91,376.24,1.0,141.0,3,3
19.0,1122.35,126.29,1.0,56.0,1,1
26.0,8569.06,184.5,1.0,25.000000000000004,1,1
44.67844382691544,7429.4,16.055,1.0,198.0,3,3
18.0,781.68,92.15,1.0,172.0,1,1
37.0,13316.71,16.055,1.0,139.0,3,3
67.0,2796.24,171.42,1.0,291.0,2,2
51.0,9095.14,106.23,1.0,86.0,3,3
55.0,1021.8800000000001,815.9600000000002,1.0,120.0,0,0
52.0,7599.5199999999995,17.78,1.0,59.00000000000001,3,3
21.0,1528.81,190.02,1.0,173.0,1,1
24.0,1620.02,494.52000000000004,1.0,111.0,1,1
26.0,189.69,781.76,1.0,123.0,0,0
18.0,299.93,166.99,1.0,134.0,1,1
36.0,3465.54,465.44999999999993,1.0,129.0,0,0
19.0,1131.26,555.8,1.0,158.0,1,1
39.0,5109.97,492.92999999999995,1.0,234.0,0,0
59.0,7948.369999999999,18.68,1.0,106.0,3,3
18.0,6568.59,71.48,1.0,169.0,1,1
71.0,5750.89,59.32,1.0,37.99999999999999,2,2
38.0,9146.19,85.77,1.0,93.0,3,3
39.0,8974.93,52.2,1.0,120.0,3,3
22.0,1402.5,345.84,3.0,142.0,1,1
21.0,1930.96,145.54,1.0,96.0,1,1
65.0,3634.67,16.055,1.0,276.0,2,2
23.0,673.3499999999999,246.92999999999998,5.0,158.0,1,1
37.0,2686.52,40.32,1.0,95.0,1,1
44.0,1772.06,127.45,1.0,197.0,1,1
27.0,1351.69,56.17,1.0,283.0,1,1
59.0,8334.47,28.31,1.0,20.0,2,2
29.0,9823.64,59.11999999999999,1.0,257.0,3,3
49.0,9690.15,396.45,3.0,168.00000000000003,3,3
22.0,399.0,877.8100000000001,1.0,150.0,0,0
45.0,14815.87,255.26,1.0,50.00000000000001,3,3
49.0,5764.72,124.75999999999999,1.0,45.0,2,2
26.0,900.61,78.13,1.0,145.0,1,1
75.0,4875.86,649.28,1.1216216216216217,137.0,0,0
66.0,7914.879999999999,795.31,2.0,90.0,0,0
55.0,1019.39,335.63,1.0,215.99999999999997,2,2
63.0,4323.66,328.47,1.0,119.0,2,2
38.0,14214.48,34.02,1.0,18.999999999999996,3,3
57.0,13357.02,241.42,1.0,116.00000000000001,3,3
19.0,241.79000000000002,55.32,1.0,117.0,1,1
27.0,868.61,304.31,1.0,33.0,1,1
74.0,4673.28,435.27000000000004,1.0,90.0,2,2
26.0,1509.27,164.49,1.0,75.0,1,1
19.0,781.7,510.23999999999995,1.0,105.0,1,1
26.0,265.51,626.9,1.0,138.0,0,0
41.0,1335.09,22.01,1.0,175.0,1,1
69.0,3907.5399999999995,425.34,1.0,121.0,2,2
51.0,5183.85,424.56,1.0,264.0,2,2
67.0,14904.9,85.43,1.0,145.0,3,3
28.0,918.8799999999999,169.5,1.0,142.0,1,1
62.0,4477.78,104.63,1.0,90.0,2,2
25.0,1324.03,316.95,1.0,83.0,1,1
57.0,3534.93,60.54,1.0,52.00000000000001,2,2
68.0,4638.37,292.56,1.0,61.00000000000001,2,2
48.0,5630.61,386.52,1.0,28.0,2,2
23.0,930.3,112.07,1.0,51.00000000000001,1,1
46.0,5499.91,568.5200000000001,1.0,151.99999999999997,0,0
79.0,4175.02,263.99,2.0,227.0,2,2
48.0,6651.62,349.64,1.0,226.0,3,3
56.0,8458.29,601.4,1.0,104.0,0,0
50.0,13988.12,16.055,1.0,123.99999999999999,3,3
42.0,2585.07,201.33,1.0,186.0,1,1
56.0,3014.75,298.42,1.0,225.0,2,2
25.0,1951.42,521.06,1.0,128.0,1,1
60.0,3665.77,117.28,1.0,16.0,2,2
32.0,977.01,189.12,1.0,103.0,1,1
44.0,3846.2800000000007,133.55,1.0,220.0,2,2
35.0,6374.82,143.21,1.0,135.0,1,1
62.0,5866.01,24.77,1.0,55.0,2,2
26.0,6537.62,233.91999999999996,1.0,280.0,1,1
20.0,605.9499999999999,878.22,1.0,24.0,0,0
37.0,6689.87,232.12000000000003,1.0,51.00000000000001,3,3
22.0,634.17,283.63535643170053,1.0,113.0,1,1
44.0,14676.05,91.53,1.0,69.00000000000001,3,3
19.0,1362.39,120.29,1.0,77.0,1,1
50.0,10528.34,174.25,1.0,67.0,3,3
38.0,552.52,183.71,1.0,102.0,1,1
58.0,6451.96,345.39,1.0,80.0,2,2
63.0,4715.84,878.22,1.0,87.0,0,0
49.0,7176.86,259.91,1.0,170.0,3,3
34.0,1523.72,154.71,1.0,157.0,1,1
54.0,8654.28,878.22,1.0,30.0,0,0
64.0,9869.93,24.56,1.0,69.00000000000001,3,3
48.0,10556.81,568.0700000000002,1.0,115.0,0,0
58.0,12883.91,16.055,1.0,179.0,3,3
24.0,791.65,392.96,1.0,100.00000000000001,1,1
60.0,4064.02,716.93,1.0,34.0,0,0
53.0,2929.91,223.84999999999997,4.0,55.0,2,2
21.0,618.05,230.65999999999997,1.0,135.0,1,1
19.0,1375.8,442.12000000000006,1.1216216216216217,260.0,1,1
29.0,1143.52,644.1700000000001,1.0,72.0,0,0
51.0,7708.41,508.68,1.0,127.0,0,0
27.0,1872.96,858.63,1.0,185.0,0,0
57.0,201.04,25.36,1.0,78.0,2,2
71.0,2115.8,147.62,1.0,133.0,2,2
37.0,7643.66,115.01999999999998,1.0,175.0,3,3
30.0,8901.93,383.37,1.0,24.0,0,0
20.0,9383.43,98.54,1.0,167.0,1,1
55.0,1181.31,83.24,1.0,164.0,2,2
27.0,9418.86,196.16,1.0,146.0,1,1
32.0,7954.919999999999,129.94,1.0,235.0,3,3
46.0,9418.08,306.9,1.0,51.00000000000001,3,3
59.0,6144.68,114.98000000000002,1.0,80.0,2,2
27.0,420.65,756.5900000000001,1.0,17.0,0,0
22.0,447.82,503.76000000000005,1.0,35.0,1,1
63.0,7981.450000000001,143.03,1.0,147.0,2,2
53.0,1829.9,878.22,1.0,73.0,0,0
25.0,985.0600000000001,245.54000000000002,1.0,180.0,1,1
51.0,8849.26,254.37,1.0,174.0,3,3
78.0,3528.72,213.76,1.0,282.0,2,2
40.0,480.16,327.86,1.0,104.0,1,1
47.0,12145.27,16.055,1.0,107.0,3,3
68.0,13546.75,300.08,1.0,47.0,3,3
43.0,5688.37,56.980000000000004,2.0,122.0,3,3
26.0,8346.64,407.65,1.0,61.99999999999999,1,1
39.0,6481.04,115.83,1.0,167.0,3,3
69.0,1651.33,53.57,1.0,121.0,2,2
46.0,11174.94,63.34,1.0,165.0,3,3
27.0,145.5,317.87,1.0,91.0,1,1
41.0,4172.57,331.65,1.0,61.00000000000001,1,1
56.0,5558.36,16.055,1.0,41.0,2,2
70.0,11151.53,214.54,1.0,247.0,3,3
57.0,1415.52,598.8100000000001,1.0,158.0,0,0
26.0,1103.64,841.28,1.0,80.0,0,0
